Pool Price,,,
,,,
,,,
,,,
Date (HE),Price ($),30Ravg ($),AIL Demand (MW)
09/28/2020 21,33.13,35.54,9387
09/28/2020 22,30.99,35.54,9193
09/28/2020 23,29.37,35.54,8875
09/28/2020 24,25.86,35.54,8592
09/29/2020 01,23.83,35.55,8362
09/29/2020 02,20.32,35.54,8215
09/29/2020 03,26.92,35.55,8146
09/29/2020 04,23.29,35.55,8110
09/29/2020 05,24.57,35.56,8156
09/29/2020 06,27.85,35.6,8247
09/29/2020 07,29.92,35.63,8559
09/29/2020 08,29.99,35.65,8969
09/29/2020 09,30.38,35.66,9111
09/29/2020 10,35.31,35.67,9199
09/29/2020 11,36.35,35.68,9309
09/29/2020 12,36.29,35.69,9378
09/29/2020 13,35.05,35.69,9428
09/29/2020 14,32.96,35.69,9467
09/29/2020 15,29.88,35.69,9455
09/29/2020 16,30,35.69,9428
09/29/2020 17,30.27,35.69,9476
